Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Samsung Galaxy Grand Prime Pro,5, 540 x 960 pixels,5,OS:Android 7.1.1 Nougat,16,1.5,2600, Li-Ion,34%,25
Samsung Galaxy Grand Prime Plus,5, 540 x 960 pixels,5,OS:Android 6.0 Marshmallow,8,1.5,2600, Li-Ion,34%,13
Samsung Galaxy S20 Ultra,6.9, 1440 x 3200 pixels,40,OS:Android 10.0; One UI 2,128,12,5000, Li-Po,100%,70
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB51,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,34
Samsung Galaxy Note 10 Note 10 Plus 5G 12GB25,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,73
Samsung Galaxy Note 10 Note 10 Plus 12GB512GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,512,12,4300, Li-Ion,100%,30
Samsung Galaxy Note 10 Note 10 Plus 12GB256GB,6.8, 1440 x 3040 pixels,10,OS:Android 9.0 Pie; One UI,256,12,4300, Li-Ion,92%,53
Samsung Galaxy Note 10 5G 12GB256GB,6.3, 1080 x 2280 pixels,10,OS:Android 9.0 Pie; One UI,256,12,3500, Li-Ion,88%,11
Samsung Galaxy Note 20 Ultra 5G 12GB512GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,512,12,4500, Li-Ion,100%,21
Samsung Galaxy Note 20 Ultra 5G 12GB256GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,256,12,4500, Li-Ion,100%,17
Samsung Galaxy Note 20 Ultra 5G 12GB128GB,6.9, 1440 x 3088 pixels,10,OS:Android 10; One UI 2.1,128,12,4500, Li-Ion,100%,9
Samsung Galaxy S10 S10 Plus 1TB 12GB,6.4, 1440 x 3040 pixels,10, DualOS:Android 9.0 Pie,1TB,12,4100, Li-Ion,78%,44
Samsung Galaxy Fold,7.3, 1536 x 2152 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,100%,23
Samsung Galaxy S10 S10 Plus 128GB 8GB,6.4, 1440 x 3040 pixels,10,OS:Android 9.0 Pie,512,12,"4,380", Li-Po,78%,72
Samsung Galaxy A2 Core,5, 540 x 960 pixels,5,OS:Android 8.0 Oreo; Go Edition,8,1,2600, Li-Ion,40%,17
Samsung Galaxy A3 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,14
Samsung Galaxy A01 Core 1GB16GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,16,1,3000, Li-Ion,37%,3
Samsung Galaxy J2 Core 2020 1GB16GB,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),16,1,2600, Li-Ion,34%,6
Samsung Galaxy J4 Core,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,16,1,3300, Li-Ion,36%,15
Samsung Galaxy J2 Core 2018,5, 540 x 960 pixels,5,OS:Android 8.1 Oreo (Android Go),8,1,2600, Li-Ion,33%,15
Samsung Galaxy A11 2GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,2,4000, Li-Po,53%,16
Samsung Galaxy A01 2GB16GB,5.7, 720 x 1560 pixels,5,OS:Android 10.0; One UI 2,16,2,3000, Li-Ion,50%,24
Samsung Galaxy A10s 2GB32GB,6.2, 720 x 1520 pixels,8,OS:Android 9.0 Pie,16,2,4000, Li-Po,54%,105
Samsung Galaxy A10,6.2, 720 x 1520 pixels,5,OS:Android 9.0 Pie,16,2,3400, Li-Po,50%,94
Samsung Galaxy Fold 5G 12GB512GB,7.3, 1536 x 2152 pixels,10,OS:Android 10.0; Realme UI 1.0,32,2,5000, Li-Po,100%,22
Samsung Galaxy A01 Core 2GB32GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,32,2,3000, Li-Ion,39%,5
Samsung Galaxy J3 2018,5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,16,2,2600, Li-Ion,37%,10
Samsung Galaxy J4,5.5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,16,2,3000, Li-Ion,41%,16
Samsung Galaxy A3 2017,4.7, 720 x 1280 pixels,8,OS:Android 6.0.1 Marshmallow,16,2,2350, Li-Ion,47%,19
Samsung Galaxy J3 Pro,5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,2600, Li-Ion,35%,14
Samsung Galaxy M10 16GB,6.22, 720 x 1520 pixels,5,OS:Android 8.1 Oreo,16,2,3400, Li-Ion,49%,19
Samsung Galaxy J4 32GB,5.5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,32,2,3000, Li-Ion,42%,38
Samsung Galaxy J4 Plus 32GB SMJ415FDS,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,32,2,3300, Li-Ion,43%,32
Samsung Galaxy J4 Plus 16GB,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,16,2,3300, Li-Ion,42%,8
Samsung Galaxy A11 3GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,3,4000, Li-Po,54%,13
Samsung Galaxy A20s 3GB32GB,6.5, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Po,54%,57
Samsung Galaxy M10s 3GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Ion,53%,30
Samsung Galaxy A30s 3GB32GB,6.4, 720 x 1560 pixels,16,OS:Android 9.0 Pie,32,3,4000, Li-Po,63%,28
Samsung Galaxy A20e,5.8, 720 x 1560 pixels,8,OS:Android 9.0 Pie; One UI,32,3,3000, Li-Po,51%,21
Samsung Galaxy A20,6.4, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Po,53%,183
Samsung Galaxy M10 32GB,6.22, 720 x 1520 pixels,5,OS:Android 8.1 Oreo,32,3,3400, Li-Ion,52%,23
Samsung Galaxy M01s 3GB32GB,6.2, 720 x 1520 pixels,8,OS:Android 9.0 Pie; One UI 1.1,32,3,4000, Li-Ion,56%,11
Samsung Galaxy M01 3GB32GB,5.7, 720 x 1520 pixels,5,OS:Android 10.0; One UI 2,32,3,4000, Li-Ion,56%,28
Samsung Galaxy A21s 3GB32GB,6.5, 720 x 1600 pixels,13,OS:Android 10; One UI 2,32,3,5000, Li-Po,83%,12
Samsung Galaxy A21 3GB32GB,6.5, 720 x 1600 pixels,13,OS:Android 10; One UI 2,32,3,4000, Li-Po,38%,6
Samsung Galaxy M11 3GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10.0; One UI 2.0,32,3,5000, Li-Ion,57%,16
Samsung Galaxy On6 32GB,5.6, 720 x 1480 pixels,8,OS:Android 8.0 Oreo,32,3,3000, Li-Ion,51%,11
Samsung Galaxy J5 Pro 2017,5.2, 720 x 1280 pixels,13,OS:Android 7.0 Nougat,32,3,3000, Li-Ion,51%,28
Samsung Galaxy J6,5.6, 720 x 1480 pixels,8,OS:Android 8.0 Oreo,32,3,3000, Li-Ion,51%,94
Samsung Galaxy J7 Prime 32GB,5.5, 1080 x 1920 pixels,8,OS:Android 6.0.1 Marshmallow,32,3,3300, Li-Ion,53%,20
Samsung Galaxy J7 Pro 64GB,5.5, 1080 x 1920 pixels,13,OS:Android 7.0 Nougat,64,3,3600, Li-Ion,56%,32
Samsung Galaxy A6 Plus 2018 32GB,6, 1080 x 2220 pixels,24,OS:Android 8.0 Oreo,32,3,3500, Li-Ion,57%,20
Samsung Galaxy A6 2018 32GB,5.6, 720 x 1480 pixels,16,OS:Android 8.0 Oreo,32,3,3000, Li-Ion,53%,25
Samsung Galaxy A7 2017,5.7, 1080 x 1920 pixels,16,OS:Android 6.0.1 Marshmallow,32,3,3600, Li-Ion,58%,19
Samsung Galaxy A5 2017 32GB,5.2, 1080 x 1920 pixels,16,OS:Android 6.0.1 Marshmallow,32,3,3000, Li-Ion,57%,34
Samsung Galaxy C8,5.5, 1080 x 1920 pixels,16,OS:Android 7.1 Nougat,32,3,3000, Li-Ion,57%,30
Samsung Galaxy J7 2017,5.5, 1080 x 1920 pixels,13,OS:Android 7.0 Nougat,16,3,3600, Li-Ion,53%,20
Samsung Galaxy J7 Pro,5.5, 1080 x 1920 pixels,13,OS:Android 7.0 Nougat,32,3,3600, Li-Ion,54%,41
Samsung Galaxy J7 Core,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,3,3000, Li-Ion,50%,11
Samsung Galaxy A30 32GB,6.4, 1080 x 2340 pixels,16,OS:Android 9.0 Pie,32,3,4000, Li-Po,59%,40
Samsung Galaxy M20 32GB,6.3, 1080 x 2340 pixels,8,OS:Android 8.1 Oreo,32,3,5000, Li-Po,60%,92
Samsung Galaxy J8 32GB,6, 720 x 1480 pixels,16,OS:Android 8.0 Oreo,32,3,3500, Li-Ion,55%,20
Samsung Galaxy J6 Plus 32GB SMJ610FDS,6, 720 x 1480 pixels,8,OS:Android 8.1 Oreo,32,3,3300, Li-Ion,45%,38
Samsung Galaxy M21 4GB64GB,6.4, 1080 x 2340 pixels,20,OS:Android 10; One UI 2.0,64,4,6000, Li-Po,94%,31
Samsung Galaxy A31 4GB64GB,6.4, 1080 x 2400 pixels,20,OS:Android 10; One UI 2.0,64,4,5000, Li-Po,90%,15
Samsung Galaxy Xcover Pro 4GB64GB,6.3, 1080 x 2340 pixels,13,OS:Android 10.0; One UI 2,64,4,4500, Li-Po,73%,10
Samsung Galaxy A51 4GB128GB,6.5, 1080 x 2400 pixels,32,OS:Android 10.0; One UI 2,128,4,4000, Li-Po,92%,58
Samsung Galaxy A60 4GB64GB,6.3, 1080 x 2340 pixels,16,OS:Android 9.0 Pie; One UI,64,4,3500, Li-Po,74%,47
Samsung Galaxy A20s 4GB64GB,6.5, 720 x 1560 pixels,8,OS:Android 9.0 Pie,64,4,4000, Li-Po,58%,52
Samsung Galaxy M30s 4GB64GB,6.4, 1080 x 2400 pixels,16,OS:Android 9.0 Pie; One UI,64,4,6000, Li-Po,94%,98
Samsung Galaxy A30s 4GB128GB,6.4, 720 x 1560 pixels,16,OS:Android 9.0 Pie,128,4,4000, Li-Po,70%,77
Samsung Galaxy A30s 4GB64GB,6.4, 720 x 1560 pixels,16,OS:Android 9.0 Pie,64,4,4000, Li-Po,67%,58
Samsung Galaxy A50s 4GB64GB,6.4, 1080 x 2340 pixels,32,OS:Android 9.0 Pie,64,4,4000, Li-Po,88%,20
Samsung Galaxy A40,5.9, 1080 x 2340 pixels,25,OS:Android 9.0 Pie,64,4,3100, Li-Po,60%,46
Samsung Galaxy M40 4GB64GB,6.3, 1080 x 2340 pixels,16,OS:Android 9.0 Pie; One UI,64,4,3500, Li-Po,74%,18
Samsung Galaxy A50 128GB 4GB,6.4, 1080 x 2340 pixels,25,OS:Android 9.0 Pie,128,4,4000, Li-Po,75%,260
Samsung Galaxy M20 64GB,6.3, 1080 x 2340 pixels,8,OS:Android 8.1 Oreo,64,4,5000, Li-Po,63%,101
Samsung Galaxy A30 64GB,6.4, 1080 x 2340 pixels,16,OS:Android 9.0 Pie,64,4,4000, Li-Po,62%,197
Samsung Galaxy M30 64GB,6.4, 1080 x 2280 pixels,16,OS:Android 9.0 Pie,64,4,5000, Li-Po,63%,104
Samsung Galaxy A50 64GB,6.4, 1080 x 2340 pixels,25,OS:Android 9.0 Pie,64,4,4000, Li-Po,72%,82
Samsung Galaxy A21s 4GB64GB,6.5, 720 x 1600 pixels,13,OS:Android 10; One UI 2,64,4,5000, Li-Po,87%,28
Samsung Galaxy M11 4GB64GB,6.4, 720 x 1560 pixels,8,OS:Android 10.0; One UI 2.0,64,4,5000, Li-Ion,61%,13
Samsung Galaxy A41 4GB64GB,6.1, 1080 x 2400 pixels,25,OS:Android 10.0; One UI 2,64,4,3500, Li-Po,85%,11
Samsung Galaxy J7 Duo 2018,5.5, 720 x 1280 pixels,8,OS:Android 8.0 Oreo,32,4,3000, Li-Ion,56%,13
Samsung Galaxy A8 Star,6.3, 1080 x 2220 pixels,24,OS:Android 8.0 Oreo,64,4,3700, Li-Ion,69%,17
Samsung Galaxy J8,6, 720 x 1480 pixels,16,OS:Android 8.0 Oreo,64,4,3500, Li-Ion,59%,70
Samsung Galaxy A8 2018 64GB,5.6, 1080 x 2220 pixels,16, DualOS:Android 7.1.1 Nougat,64,4,3000, Li-Ion,62%,29
Samsung Galaxy A8 Plus 2018 64GB,6, 1080 x 2220 pixels,16, DualOS:Android 7.1.1 Nougat,64,4,3500, Li-Ion,63%,14
