Phone Title,Screensize,resolution,FrontCam,OS,StorageMB,RAM,Battery mAh,Type,Specs Score,Likes
Tecno Boom J8,5.5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,3000, Li-Ion,46%,69
Tecno L8 Plus,5.5, 720 x 1280 pixels,2,OS:Android 5.1 Lollipop,16,2,5050, Li-Po,43%,17
Tecno Camon C7,5, 720 x 1280 pixels,13,OS:Android 6.0 Marshmallow,16,2,2500, Li-Ion,39%,41
Tecno Camon C9,5.5, 1080 x 1920 pixels,13,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,48%,62
Xiaomi Mi Max 16 GB,6.44, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,16,2,4850, Li-Ion,55%,6
Xiaomi Redmi 4a 32 GB,5, 720 x 1280 pixels,5,OS:Android 6.0.1 Marshmallow,32,2,3120, Li-Ion,43%,5
Xiaomi Redmi 4a 16 GB,5, 720 x 1280 pixels,5,OS:Android 6.0.1 Marshmallow,16,2,3120, Li-Ion,42%,6
Nokia 5,5.2, 720 x 1280 pixels,8,OS:Android 7.1.1 Nougat,16,2,3000, Li-Ion,47%,26
Apple iPhone 6s Plus 128 GB,5.5, 1080 x 1920 pixels,5,OS:iOS: 9,128,2,2750, Li-Ion,48%,38
Tecno L9 Plus,6, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,5000, Li-Ion,46%,124
Tecno Camon CX Air,5.5, 720 x 1280 pixels,13,OS:Android 7.0 Nougat,16,2,3200, Li-Po,41%,100
Tecno Camon CX,5.5, 1080 x 1920 pixels,16,OS:Android 7.0 Nougat,16,2,3200, Li-Po,52%,104
Tecno Spark Plus K9,6, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,3400, Li-Ion,48%,147
Nokia 3,5, 720 x 1280 pixels,8,OS:Android 7.0 Nougat,16,2,2630, Li-Ion,37%,27
HTC E9,5.5, 1080 x 1920 pixels,4,OS:Android 5.0 Lollipop,16,2,2800, Li-Po,52%,6
HTC Desire 630,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,2200, Li-Ion,40%,4
HTC Desire 728,5.5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,2800, Li-Po,45%,6
HTC One A9 16 GB,5, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,16,2,2150, Li-Ion,48%,3
LG Nexus 5X 32 GB,5.2, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,32,2,2700, Li-Po,48%,6
LG Nexus 5X 16 GB,5.2, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,16,2,2700, Li-Po,47%,4
LG G3 16 GB,5.5, 1440 x 2560 pixels,2.1,OS:Android 4.4.2 Kitkat,16,2,3000, Li-Ion,52%,4
HTC One S9,5, 1080 x 1920 pixels,4,OS:Android OS:,16,2,2840, Li-Ion,52%,2
Huawei G8 16 GB,5.5, 1080 x 1920 pixels,5,OS:Android 5.1 Lollipop,16,2,3000, Li-Ion,49%,5
Huawei P9 Lite 2 GB RAM,5.2, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,53%,9
Huawei P8 Lite,5, 720 x 1280 pixels,5,OS:Android 5.0.2 Lollipop,16,2,2200, Li-Ion,44%,31
Huawei GR5,5.5, 1080 x 1920 pixels,5,OS:Android 5.1.1 Lollipop,16,2,3000, Li-Ion,49%,5
Huawei GR3,5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,2200, Li-Ion,45%,8
Huawei Y6 Pro,5, 720 x 1280 pixels,5,OS:Android 5.1.1 Lollipop,16,2,4000, Li-Po,44%,7
Huawei Y6 II,5.5, 720 x 1280 pixels,8,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,45%,12
Samsung Galaxy A11 2GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,2,4000, Li-Po,53%,16
Samsung Galaxy A01 2GB16GB,5.7, 720 x 1560 pixels,5,OS:Android 10.0; One UI 2,16,2,3000, Li-Ion,50%,24
Samsung Galaxy A10s 2GB32GB,6.2, 720 x 1520 pixels,8,OS:Android 9.0 Pie,16,2,4000, Li-Po,54%,105
Samsung Galaxy A10,6.2, 720 x 1520 pixels,5,OS:Android 9.0 Pie,16,2,3400, Li-Po,50%,94
Sony Xperia C5 Ultra,6, 1080 x 1920 pixels,13,OS:Android 5.0 Lollipop,16,2,2930, Li-Ion,50%,1
Sony Xperia L1,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,2620, Li-Ion,40%,15
Sony Xperia C4,5.5, 1080 x 1920 pixels,5,OS:Android 5.0 Lollipop,16,2,2600, Li-Ion,49%,6
Lenovo K5 Play,5.7, 720 x 1440 pixels,8,OS:Android 8.0 Oreo,16,2,3000, Li-Ion,47%,5
Lenovo Vibe S1 Lite,5, 1080 x 1920 pixels,8,OS:Android 5.1 Lollipop,16,2,2700, Li-Po,48%,6
Lenovo Phab Plus,6.8, 1080 x 1920 pixels,5,OS:Android 5.0 Lollipop,32,2,3500, Li-Po,50%,5
Lenovo K6 16GB,5, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,49%,5
Lenovo Vibe X2,5, 1080 x 1920 pixels,5,OS:Android 4.4 Kitkat,32,2,2300, Li-Po,52%,4
Tecno Camon 11,6.2, 720 x 1500 pixels,16,OS:Android 8.1 Oreo,16,2,3750, Li-Ion,44%,90
Tecno Spark 2 32GB,6, 720 x 1440 pixels,8,OS:Android 8.1 Oreo,32,2,3500, Li-Ion,43%,52
Tecno Pouvoir 2,6, 1440 x 720 pixels,8,OS:Android 8.1 Oreo,16,2,5000, Li-Po,46%,81
Tecno Spark K7 Plus,5.5, 720 x 1280 pixels,5,OS:Android 7.0 Nougat,16,2,3000, Li-Ion,46%,51
Tecno Camon CM,5.7, 720 x 1440 pixels,13,OS:Android 7.0 Nougat,16,2,3000, Li-Po,40%,94
Oppo A1K 2GB32GB,6.1, 720 x 1560 pixels,5,OS:Android 9.0 Pie; ColorOS: 6,32,2,4000, Li-Po,50%,43
Cubot Note S,5.5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,4150, Li-Ion,40%,22
Cubot Echo,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,3000, Li-Po,41%,5
Xiaomi Redmi Note 5A 16GB,5.5, 720 x 1280 pixels,16,OS:Android 7.1.2 Nougat,16,2,3080, Li-Ion,47%,13
Nokia 42 16GB,5.71, 720 x 1520 pixels,8,OS:Android 9.0 Pie (One edition),16,2,3000, Li-Ion,50%,20
Nokia 32 16GB,6.2, 720 x 1520 pixels,5,OS:Android 9.0 Pie (One edition),16,2,4000, Li-Ion,46%,25
Nokia 31 Plus 16GB,6, 720 x 1440 pixels,8,OS:Android 8.1 Oreo,16,2,3500, Li-Ion,51%,15
Nokia 31 16GB,5.2, 720 x 1440 pixels,8,OS:Android 8.0 Oreo,16,2,2990, Li-Ion,48%,40
Nokia 51 16GB,5.5, 1080 x 2160 pixels,8,OS:Android 8.0 Oreo,16,2,2970, Li-Ion,55%,20
Realme C3 2GB32GB,6.5, 720 x 1560 pixels,5,OS:Android 10.0; Realme UI 1.0,32,2,5000, Li-Po,56%,10
Samsung Galaxy Fold 5G 12GB512GB,7.3, 1536 x 2152 pixels,10,OS:Android 10.0; Realme UI 1.0,32,2,5000, Li-Po,100%,22
Samsung Galaxy A01 Core 2GB32GB,5.3, 720 x 1480 pixels,5,OS:Android 10.0; Go edition,32,2,3000, Li-Ion,39%,5
Huawei Y5 2017,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,3000, Li-Ion,38%,12
Huawei Shot X,5.2, 1080 x 1920 pixels,13,OS:Android 5.1.1 Lollipop,16,2,3100, Li-Po,51%,9
Huawei Ascend Mate 7 16GB,6, 1080 x 1920 pixels,5,OS:Android 4.4.2 Kitkat,16,2,4100, Li-Po,54%,14
Oppo A3s,6.2, 720 x 1520 pixels,8,OS:Android 8.1 Oreo,16,2,4230, Li-Ion,52%,60
Oppo A37,5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,2630, Li-Ion,36%,64
HTC Wildfire R70 2GB32GB,6.53, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,2,4000, Li-Po,56%,6
HTC Desire 650,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,2200, Li-Ion,40%,11
HTC Desire 12,5.5, 720 x 1440 pixels,5,OS:Android 7.0 Nougat,16,2,2730, Li-Ion,40%,40
Infinix Smart 5 2GB32GB,6.6, 720 x 1600 pixels,8,OS:Android 10; Go edition,32,2,5000, Li-Po,55%,21
Infinix Hot 9 Play 2GB32GB,6.82, 720 x 1640 pixels,8,OS:Android 9.0 Pie (Go edition),32,2,6000, Li-Po,54%,5
Infinix Hot 9 2GB32GB,6.6, 720 x 1600 pixels,8,OS:Android 10.0; XOS: 6.0,32,2,5000, Li-Po,55%,11
Infinix Smart 4 2GB32GB,6.6, 720 x 1600 pixels,5,OS:Android 9.0 Pie; Go Edition; XOS: 5.5,32,2,4000, Li-Po,44%,73
Infinix Hot 8 Lite 2GB32GB,6.52, 720 x 1600 pixels,8,OS:Android 8.1 Oreo; Go Edition,32,2,5000, Li-Po,49%,76
Infinix Hot 8 2GB32GB,6.52, 720 x 1600 pixels,8,OS:Android 9.0 Pie,32,2,5000, Li-Po,57%,75
Hotwav Cosmos V17,5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,2,3500, Li-Ion,48%,13
Samsung Galaxy J3 2018,5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,16,2,2600, Li-Ion,37%,10
Samsung Galaxy J4,5.5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,16,2,3000, Li-Ion,41%,16
Samsung Galaxy A3 2017,4.7, 720 x 1280 pixels,8,OS:Android 6.0.1 Marshmallow,16,2,2350, Li-Ion,47%,19
Samsung Galaxy J3 Pro,5, 720 x 1280 pixels,5,OS:Android 5.1 Lollipop,16,2,2600, Li-Ion,35%,14
Samsung Galaxy M10 16GB,6.22, 720 x 1520 pixels,5,OS:Android 8.1 Oreo,16,2,3400, Li-Ion,49%,19
Samsung Galaxy J4 32GB,5.5, 720 x 1280 pixels,5,OS:Android 8.0 Oreo,32,2,3000, Li-Ion,42%,38
Samsung Galaxy J4 Plus 32GB SMJ415FDS,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,32,2,3300, Li-Ion,43%,32
Samsung Galaxy J4 Plus 16GB,6, 720 x 1480 pixels,5,OS:Android 8.1 Oreo,16,2,3300, Li-Ion,42%,8
Xiaomi Redmi 6A 2GB32GB,5.45, 720 x 1440 pixels,5,OS:Android 8.1 Oreo,32,2,3000, Li-Ion,46%,10
Xiaomi Redmi 7 16GB,6.26, 720 x 1520 pixels,8,OS:Android 9.0 Pie; MIUI 9,16,2,4000, Li-Po,51%,13
Xiaomi Redmi 6A 16GB,5.45, 720 x 1440 pixels,5,OS:Android 8.1 Oreo,16,2,3000, Li-Ion,45%,11
Realme C11 2GB32GB,6.5, 720 x 1560 pixels,5,OS:Android 10.0; Realme UI 1.0,32,2,5000, Li-Po,58%,21
Realme C3i 2GB32GB,6.5, 720 x 1600 pixels,5,OS:Android 10.0; Realme UI 1.0,32,2,5000, Li-Po,56%,11
Huawei Honor 7A,5.7, 720 x 1440 pixels,8,OS:Android 8.0 Oreo,16,2,3000, Li-Po,47%,27
Tecno Phantom 5,5.5, 1080 x 1920 pixels,8,OS:Android 5.1 Lollipop,32,3,3000, Li-Ion,52%,29
Tecno Camon C9 Plus,5.5, 1080 x 1920 pixels,13,OS:Android 6.0 Marshmallow,32,3,3000, Li-Ion,51%,39
Tecno Phantom 6,5.5, 1080 x 1920 pixels,8,OS:Android 6.0.1 Marshmallow,32,3,2700, Li-Po,54%,55
Xiaomi Mi Max 64 GB,6.44, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,64,3,4850, Li-Ion,59%,1
Xiaomi Mi Max 32 GB,6.44, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,32,3,4850, Li-Ion,57%,5
Xiaomi Mi 5s 64 GB,5.15, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,64,3,3200, Li-Po,52%,2
Xiaomi Mi 5 64 GB,5.15, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,64,3,3000, Li-Po,54%,1
Xiaomi Mi 5 32 GB,5.15, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,32,3,3000, Li-Po,51%,7
Nokia 6,5.5, 1080 x 1920 pixels,8,OS:Android 7.1.1 Nougat,32,3,3000, Li-Ion,54%,36
Huawei Nova,5, 1080 x 1920 pixels,8,OS:Android 6.0.1 Marshmallow,32,3,3020, Li-Po,55%,5
Huawei P10 Lite 3 GB RAM,5.2, 1080 x 1920 pixels,8,OS:Android 7.0 Nougat,32,3,3000, Li-Po,55%,10
Oppo A71,5.2, 720 x 1280 pixels,5,OS:Android 7.1 Nougat,16,3,3000, Li-Ion,49%,25
HTC 10 Evo 64GB,5.5, 1440 x 2560 pixels,8,OS:Android 7.0 Nougat,64,3,3200, Li-Ion,62%,18
HTC 10 Evo,5.5, 1440 x 2560 pixels,8,OS:Android 7.0 Nougat,32,3,3200, Li-Ion,60%,15
HTC One M9 Plus,5.2, 1440 x 2560 pixels,4,OS:Android 5.0.2 Lollipop,32,3,2840, Li-Po,63%,10
HTC One M9,5, 1080 x 1920 pixels,4,OS:Android 5.0 Lollipop,32,3,2840, Li-Po,57%,7
HTC One A9 32 GB,5, 1080 x 1920 pixels,4,OS:Android 6.0 Marshmallow,32,3,2150, Li-Ion,50%,4
HTC Desire 10 Lifestyle,5.5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,32,3,2700, Li-Ion,43%,13
LG G5 SE,5.3, 1440 x 2560 pixels,8,OS:Android 6.0.1 Marshmallow,32,3,2800, Li-Ion,58%,3
LG G4,5.5, 1440 x 2560 pixels,8,OS:Android 5.1.1 Lollipop,32,3,3000, Li-Ion,55%,16
LG G3 32 GB,5.5, 1440 x 2560 pixels,2.1,OS:Android 4.4.2 Kitkat,32,3,3000, Li-Ion,54%,4
HTC One ME,5.2, 1440 x 2560 pixels,4,OS:Android 5.0 Lollipop,32,3,2840, Li-Po,63%,7
HTC One X9,5.5, 1080 x 1920 pixels,5,OS:Android 6.0 Marshmallow,32,3,3000, Li-Ion,56%,5
HTC U Play 32 GB,5.2, 1080 x 1920 pixels,16,OS:Android OS:,32,3,2500, Li-Ion,56%,7
Huawei G8 32 GB,5.5, 1080 x 1920 pixels,5,OS:Android 5.1 Lollipop,32,3,3000, Li-Ion,52%,9
Huawei P9 Lite 3 GB RAM,5.2, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,16,3,3000, Li-Ion,54%,6
Huawei P9 32 GB,5.2, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,32,3,3000, Li-Ion,57%,8
Huawei P8 32 GB,5.2, 1080 x 1920 pixels,8,OS:Android 4.4.2 Kitkat,32,3,2680, Li-Po,54%,1
Huawei P8 16 GB,5.2, 1080 x 1920 pixels,8,OS:Android 4.4.2 Kitkat,16,3,2680, Li-Po,53%,10
Huawei GR5 2017 32 GB,5.5, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,32,3,3340, Li-Po,56%,6
Huawei GR3 2017 16 GB,5.2, 1080 x 1920 pixels,8,OS:Android 7.0 Nougat,16,3,3000, Li-Ion,54%,10
Samsung Galaxy A11 3GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 10,32,3,4000, Li-Po,54%,13
Samsung Galaxy A20s 3GB32GB,6.5, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Po,54%,57
Samsung Galaxy M10s 3GB32GB,6.4, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Ion,53%,30
Samsung Galaxy A30s 3GB32GB,6.4, 720 x 1560 pixels,16,OS:Android 9.0 Pie,32,3,4000, Li-Po,63%,28
Samsung Galaxy A20e,5.8, 720 x 1560 pixels,8,OS:Android 9.0 Pie; One UI,32,3,3000, Li-Po,51%,21
Samsung Galaxy A20,6.4, 720 x 1560 pixels,8,OS:Android 9.0 Pie,32,3,4000, Li-Po,53%,183
Samsung Galaxy M10 32GB,6.22, 720 x 1520 pixels,5,OS:Android 8.1 Oreo,32,3,3400, Li-Ion,52%,23
Sony Xperia X 32GB,5, 1080 x 1920 pixels,13,OS:Android 6.0.1 Marshmallow,32,3,2620, Li-Ion,58%,10
Sony Xperia Z5 Premium,5.5, 2160 x 3840 pixels,5.1,OS:Android 5.1.1 Lollipop,32,3,3430, Li-Ion,70%,6
Sony Xperia Z5 Dual,5.2, 1080 x 1920 pixels,5.1,OS:Android 5.1.1 Lollipop,32,3,2900, Li-Ion,62%,9
Sony Xperia Z3 Plus,5.2, 1080 x 1920 pixels,5.1,OS:Android 5.0.1 Lollipop,32,3,2930, Li-Ion,61%,10
Sony Xperia Z3 Dual 32GB,5.2, 1080 x 1920 pixels,2.2,OS:Android 4.4.4 Kitkat,32,3,3100, Li-Ion,58%,12
Sony Xperia Z3 Dual 16GB,5.2, 1080 x 1920 pixels,2.2,OS:Android 4.4.4 Kitkat,16,3,3100, Li-Ion,57%,5
Lenovo S5,5.7, 1080 x 2160 pixels,16,OS:Android 8.0 Oreo,32,3,3000, Li-Po,55%,12
Lenovo K5,5.7, 720 x 1440 pixels,8,OS:Android 7.1 Nougat,32,3,3000, Li-Ion,50%,9
Lenovo K6 Power,5, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,32,3,4000, Li-Ion,55%,6
Lenovo K6 Note,5.5, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,32,3,4000, Li-Po,56%,7
Tecno Camon X 32GB,6, 720 x 1440 pixels,20,OS:Android 8.1 Oreo,32,3,3750, Li-Po,57%,86
Tecno Pouvoir 2 Pro,6, 1440 x 720 pixels,13,OS:Android 8.1 Oreo,16,3,5000, Li-Po,48%,77
Tecno Camon X,6, 720 x 1440 pixels,20,OS:Android 8.1 Oreo,16,3,3750, Li-Po,56%,77
Oppo A5 2020 3GB64GB,6.5, 720 x 1600 pixels,8,OS:Android 9.0 Pie; ColorOS: 6.0,64,3,5000, Li-Po,60%,59
Oppo A7 32GB,6.2, 720 x 1520 pixels,16,OS:Android 8.1 Oreo,32,3,4230, Li-Ion,55%,28
Cubot S550 Pro,5.5, 720 x 1280 pixels,8,OS:Android 5.1 Lollipop,16,3,3000, Li-Ion,42%,12
Cubot Cheetah,5.5, 1080 x 1920 pixels,8,OS:Android 6.0 Marshmallow,32,3,3050, Li-Ion,52%,3
Cubot Dinosaur,5.5, 720 x 1280 pixels,5,OS:Android 6.0 Marshmallow,16,3,4150, Li-Ion,45%,5
Nokia 42 32GB,5.71, 720 x 1520 pixels,8,OS:Android 9.0 Pie (One edition),32,3,3000, Li-Ion,53%,81
Nokia 32 32GB,6.2, 720 x 1520 pixels,5,OS:Android 9.0 Pie (One edition),32,3,4000, Li-Ion,49%,48
Nokia 71 32GB,5.84, 1080 x 2280 pixels,8,OS:Android 8.1 Oreo,32,3,3060, Li-Ion,54%,16
Nokia 51 Plus X5 32GB,5.86, 720 x 1520 pixels,8,OS:Android 8.1 Oreo,32,3,3060, Li-Ion,53%,61
Apple iPhone SE 2020 256GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,256,3,1821, Li-Ion,63%,16
Apple iPhone SE 2020 128GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,128,3,1821, Li-Ion,56%,27
Apple iPhone SE 2020 64GB,4.7, 750 x 1334 pixels,7,OS:iOS: 13,64,3,1821, Li-Ion,52%,23
