REGION,COUNTRY,PNET ID,Partner Tier,GSI (Y/N),High Touch (Y/N),Veritas Partners,Stakeholder type,"Areas of Support
",Activity type,"Activity 
Date
DD/MM/YYYY",Notes category,Notes (free text)
HQ,0,0,0,0,N,Veritas APJ,Veritas APJ,PRM related activities,Emails,10-Aug-21,General,Provide clarification to Darric on VPDF reporting matters 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Emails,10-Aug-21,General,liaise with Dinah on Fujitsu event 
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Call/Chat Messaging,11-Aug-21,General,Liaise with Elaine on the available dates to blast the eDM invitation for Fujitsu Event
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Emails,11-Aug-21,General,Prepare the OFT file content to be blast for the Fujitsu event
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Emails,11-Aug-21,Escalations,Provide Tommy with exception request guidelines and info - ID 45
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Regional Reporting,Emails,11-Aug-21,General,Sync up with team on VPDF monthly report 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Emails,11-Aug-21,General,Notify Weerakit on Exception ID 47 request
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Call/Chat Messaging,12-Aug-21,General,Update Elaine on the list of attendees and the audience segmentation for DLO 9.6 post webinar eDM
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Regional Reporting,Emails,12-Aug-21,General,ASPR VPDF Weekly Report
HQ,0,0,0,0,N,Veritas APJ,Veritas APJ,Partner Engagement,Emails,12-Aug-21,General,"Proposed available date for next BE webinar, and get info of the audience, eDM blast dates etc"
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas APJ,VPDF Planning,Emails,12-Aug-21,Escalations,Amendments to the Q3 files due to additional discretionary fund for ASR
HQ,0,0,0,0,N,Veritas APJ,IT team,Non Marketing,Emails,12-Aug-21,Escalations,Outlook problems. Liaise with Ashish 
HQ,0,0,0,0,N,Veritas APJ,Veritas Channel Ops,PRM related activities,Call/Chat Messaging,13-Aug-21,General,Liaise with Cherise on Activity submission for TH 
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Emails,13-Aug-21,General,Send out the OFT file for Fujitsu event
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,VPDF Planning,Emails,13-Aug-21,General,Send out the Q1 plan template to PSMs
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Emails,13-Aug-21,General,Liaise with Elaine on Fujitsu Event submission in the Demand Center 
South Asia & Pacific,Australia,6361,Distribution Partner,No,Y,Dicker Data,Partner,Non Marketing,Call/Chat Messaging,16-Aug-21,General,ORR tagging 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Emails,16-Aug-21,General,VPDF allocation for Metrodata activity ID 413356
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Non Marketing,Emails,16-Aug-21,General,Connect with RCL in regards to the BE Channel Bootcamp
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Emails,16-Aug-21,General,Setting up the Veritas x AWS webinar Zoom registration page
South Asia & Pacific,Thailand,53666,Platinum,No,Y,Yip In Tsoi & Co Ltd,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413784
South Asia & Pacific,Thailand,66465,Platinum,No,Y,G-ABLE COMPANY LMITED,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413752
South Asia & Pacific,Thailand,53657,Platinum,No,Y,MFEC Public Company Limited,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413744
South Asia & Pacific,Thailand,53572,Platinum,No,Y,"DataPro Computer Systems Co., Ltd.",Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413743
South Asia & Pacific,Thailand,22176,Distribution Partner,No,Y,VST ECS (THAILAND) CO.LTD,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413802
South Asia & Pacific,Australia,9677687,Platinum,No,Y,Intalock Technologies Pty Ltd,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413583
South Asia & Pacific,Australia,6361,Distribution Partner,No,Y,Dicker Data,Partner,PRM related activities,,17-Aug-21,General,Review and L1 approve partner's Activity ID 413751
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Webex/MS Teams,17-Aug-21,General,Call with Weerakit to discuss with him on partner's exception request
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Call/Chat Messaging,18-Aug-21,General,Update Elaine on new eDM request for BE Channel Bootcamp & Veritas - AWS Webinar
South Asia & Pacific,0,0,0,0,N,Veritas PAR,Veritas regional team,PRM related activities,Call/Chat Messaging,19-Aug-21,General, Dicker Data's activity discussion
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,19-Aug-21,Planning,"Discuss with Tommy on the VPDF plans, update the balance and discuss on the discretionary DDF Q4"
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,19-Aug-21,General,Discussion with Alex on ASR VPDF plans specifically on the allocation of discretionary fund 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Call/Chat Messaging,19-Aug-21,General,Update Kaylie for MY VPDF and list of partner's activities planned pending submission
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Call/Chat Messaging,19-Aug-21,General,Peruse the OFT file for Channel Bootcamp webinar with Elaine 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,23-Aug-21,General,Discussion with Alex on ASR Q4 VPDF plans
HQ,0,0,0,0,N,Veritas APJ,Veritas regional team,Partner Engagement,Call/Chat Messaging,23-Aug-21,General,Discuss with Elaine on the audience and available dates for Veritas - AWS Webinar
HQ,0,0,0,0,N,Veritas APJ,Veritas Channel Ops,PRM related activities,Call/Chat Messaging,24-Aug-21,General,VPDF plans housekeeping call with Cherise
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,Non Marketing,Call/Chat Messaging,24-Aug-21,General,Discussion with Weerakit on Q4 DDF funding left and discuss on acitivity for VN additional fund 
HQ,0,0,0,0,N,Veritas APJ,IT team,PRM related activities,Webex/MS Teams,25-Aug-21,General,VPDF template discussion with Manoj to troubleshoot some formats in the file
South Asia & Pacific,0,0,0,0,N,Veritas PAR,Veritas regional team,VPDF Planning,Call/Chat Messaging,25-Aug-21,General,Follow up on Q1 plans
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,25-Aug-21,General,Follow up on Q1 plans for ID
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,25-Aug-21,General,Remind Alex on Q1 planning 
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,VPDF Planning,Call/Chat Messaging,25-Aug-21,General,Follow up with Kaylie on Q1 plans for MY
South Asia & Pacific,Indonesia,53405,Platinum,No,Y,PT Mitra Integrasi Informatika,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413856
South Asia & Pacific,Indonesia,53405,Platinum,No,Y,PT Mitra Integrasi Informatika,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413855
South Asia & Pacific,Indonesia,63113,Platinum,No,Y,PT Berca Hardayaperkasa,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413819
South Asia & Pacific,Thailand,22176,Distribution Partner,No,Y,VST ECS (THAILAND) CO.LTD,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413844
South Asia & Pacific,Thailand,22176,Distribution Partner,No,Y,VST ECS (THAILAND) CO.LTD,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413805
South Asia & Pacific,Viet Nam,39226,Distribution Partner,No,Y,Synnex FPT Distribution Co. Ltd,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413857
South Asia & Pacific,Thailand,53666,Platinum,No,Y,Yip In Tsoi & Co Ltd,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413803
South Asia & Pacific,Thailand,53572,Platinum,No,Y,"DataPro Computer Systems Co., Ltd.",Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413846
South Asia & Pacific,Thailand,53572,Platinum,No,Y,"DataPro Computer Systems Co., Ltd.",Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413845
South Asia & Pacific,Indonesia,8777877,Distribution Partner,No,Y,PT. Synnex Metrodata Indonesia,Partner,PRM related activities,,30-Aug-21,General,Review and L1 approve partner's Activity ID 413843
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Call/Chat Messaging,30-Aug-21,General,Get clarification from Tommy on which budget to use for activity submitted by SMI & make adjustments
South Asia & Pacific,0,0,0,0,N,Veritas ASR,Veritas regional team,PRM related activities,Call/Chat Messaging,30-Aug-21,General,"Discuss with Tommy on Activity ID 413818, 413862 and 413817 "
